t_wall,target,rtt_ms
1787859619.367,dns,13
1787859619.391,riot,11
1787859620.356,gateway,1
1787859620.369,dns,14
1787859620.394,riot,11
1787859621.357,gateway,1
1787859621.370,dns,13
1787859621.395,riot,13
1787859622.357,gateway,1
1787859622.369,dns,14
1787859622.398,riot,13
1787859623.358,gateway,1
1787859623.371,dns,15
1787859623.398,riot,13
1787859624.358,gateway,1
1787859624.371,dns,15
1787859624.399,riot,13
1787859625.359,gateway,1
1787859625.373,dns,15
1787859625.401,riot,14
1787859626.360,gateway,1
1787859626.372,dns,15
1787859626.401,riot,11
1787859627.360,gateway,1
1787859627.374,dns,16
1787859627.403,riot,11
1787859628.361,gateway,2
1787859628.376,dns,16
1787859628.406,riot,14
1787859629.362,gateway,1
1787859629.375,dns,16
1787859629.404,riot,13
1787859630.363,gateway,1
1787859630.375,dns,14
1787859630.403,riot,12
1787859631.363,gateway,1
1787859631.378,dns,13
1787859631.405,riot,12
1787859632.365,gateway,1
1787859632.378,dns,14
1787859632.404,riot,11
1787859633.365,gateway,1
1787859633.378,dns,14
1787859633.404,riot,13
1787859634.366,gateway,1
1787859634.379,dns,15
1787859634.406,riot,13
1787859635.367,gateway,1
1787859635.380,dns,14
1787859635.407,riot,11
1787859636.367,gateway,1
1787859636.381,dns,13
1787859636.407,riot,12
1787859637.368,gateway,1
1787859637.382,dns,14
1787859637.409,riot,11
1787859638.370,gateway,1
1787859638.383,dns,13
1787859638.408,riot,13
1787859639.370,gateway,1
1787859639.384,dns,16
1787859639.413,riot,12
1787859640.372,gateway,2
1787859640.387,dns,13
1787859640.412,riot,12
1787859641.373,gateway,1
1787859641.386,dns,14
1787859641.412,riot,11
1787859642.375,gateway,1
1787859642.388,dns,14
1787859642.415,riot,11
1787859643.376,gateway,1
1787859643.389,dns,13
1787859643.417,riot,12
1787859644.378,gateway,1
1787859644.388,dns,14
1787859644.416,riot,11
1787859645.378,gateway,1
1787859645.391,dns,14
1787859645.419,riot,13
1787859646.378,gateway,1
1787859646.391,dns,14
1787859646.419,riot,11
1787859647.379,gateway,1
1787859647.392,dns,11
1787859647.416,riot,12
1787859648.380,gateway,1
1787859648.393,dns,14
1787859648.420,riot,11
1787859649.381,gateway,1
1787859649.395,dns,15
1787859649.422,riot,11
1787859650.383,gateway,1
1787859650.397,dns,14
1787859650.424,riot,14
1787859651.383,gateway,1
1787859651.397,dns,16
1787859651.426,riot,12
1787859652.385,gateway,1
1787859652.398,dns,14
1787859652.425,riot,11
1787859653.386,gateway,1
1787859653.398,dns,14
1787859653.426,riot,14
1787859654.387,gateway,1
1787859654.402,dns,14
1787859654.430,riot,12
1787859655.388,gateway,1
1787859655.402,dns,16
1787859655.433,riot,14
1787859656.389,gateway,1
1787859656.403,dns,14
1787859656.430,riot,12
1787859657.390,gateway,1
1787859657.404,dns,15
1787859657.433,riot,11
1787859658.391,gateway,1
1787859658.404,dns,15
1787859658.433,riot,13
1787859659.392,gateway,1
1787859659.406,dns,13
1787859659.432,riot,11
1787859660.392,gateway,1
1787859660.406,dns,14
1787859660.432,riot,12
1787859661.393,gateway,1
1787859661.405,dns,13
1787859661.433,riot,13
1787859662.393,gateway,1
1787859662.406,dns,13
1787859662.432,riot,13
1787859663.394,gateway,1
1787859663.407,dns,14
1787859663.435,riot,11
1787859664.396,gateway,1
1787859664.409,dns,15
1787859664.437,riot,11
1787859665.398,gateway,1
1787859665.410,dns,15
1787859665.436,riot,13
1787859666.398,gateway,1
1787859666.411,dns,14
1787859666.438,riot,12
1787859667.399,gateway,1
1787859667.413,dns,15
1787859667.440,riot,11
1787859668.400,gateway,1
1787859668.414,dns,15
1787859668.441,riot,9
1787859669.402,gateway,1
1787859669.416,dns,14
1787859669.443,riot,13
1787859670.403,gateway,2
1787859670.417,dns,15
1787859670.445,riot,13
1787859671.403,gateway,1
1787859671.416,dns,14
1787859671.443,riot,12
1787859672.405,gateway,1
1787859672.420,dns,14
1787859672.447,riot,13
1787859673.406,gateway,1
1787859673.420,dns,13
1787859673.445,riot,12
1787859674.407,gateway,1
1787859674.422,dns,14
1787859674.448,riot,13
1787859675.408,gateway,1
1787859675.422,dns,14
1787859675.449,riot,12
1787859676.409,gateway,1
1787859676.422,dns,13
1787859676.449,riot,14
1787859677.410,gateway,1
1787859677.425,dns,17
1787859677.457,riot,14
1787859678.412,gateway,1
1787859678.426,dns,14
1787859678.454,riot,13
1787859679.412,gateway,1
1787859679.426,dns,15
1787859679.454,riot,17
1787859680.413,gateway,1
1787859680.427,dns,15
1787859680.457,riot,11
1787859681.414,gateway,1
1787859681.428,dns,14
1787859681.457,riot,12
1787859682.416,gateway,2
1787859682.430,dns,14
1787859682.459,riot,14
1787859683.416,gateway,1
1787859683.432,dns,16
1787859683.464,riot,12
1787859684.417,gateway,1
1787859684.432,dns,17
1787859684.465,riot,12
1787859685.419,gateway,1
1787859685.433,dns,14
1787859685.460,riot,16
1787859686.420,gateway,1
1787859686.434,dns,14
1787859686.462,riot,12
1787859687.420,gateway,1
1787859687.434,dns,13
1787859687.461,riot,12
1787859688.421,gateway,2
1787859688.437,dns,15
1787859688.490,riot,13
1787859689.422,gateway,1
1787859689.435,dns,15
1787859689.464,riot,11
1787859690.422,gateway,1
1787859690.436,dns,14
1787859690.465,riot,12
1787859691.424,gateway,1
1787859691.438,dns,13
1787859691.467,riot,12
1787859692.425,gateway,1
1787859692.438,dns,15
1787859692.465,riot,14
1787859693.425,gateway,1
1787859693.439,dns,14
1787859693.465,riot,16
1787859694.427,gateway,1
1787859694.442,dns,14
1787859694.470,riot,12
1787859695.428,gateway,1
1787859695.441,dns,13
1787859695.468,riot,12
1787859696.429,gateway,1
1787859696.443,dns,14
1787859696.471,riot,12
1787859697.430,gateway,1
1787859697.445,dns,14
1787859697.472,riot,11
1787859698.432,gateway,2
1787859698.449,dns,13
1787859698.476,riot,12
1787859699.432,gateway,1
1787859699.447,dns,14
1787859699.473,riot,12
1787859700.433,gateway,1
1787859700.448,dns,14
1787859700.476,riot,12
1787859701.434,gateway,1
1787859701.447,dns,13
1787859701.473,riot,13
1787859702.435,gateway,4
1787859702.452,dns,15
1787859702.477,riot,11
1787859703.437,gateway,1
1787859703.448,dns,15
1787859703.476,riot,14
