t_ns,kind,dx,dy
149134995063000,m,-39,-3
149135003020500,m,-56,-1
149135011035600,m,-76,-3
149135019045300,m,-98,-6
149135027054200,m,-118,-9
149135035062800,m,-131,-9
149135042075600,m,-122,-8
149135050071100,m,-143,-10
149135058049000,m,-140,-8
149135066038800,m,-129,-7
149135075040900,m,-126,-4
149135082042100,m,-81,-3
149135091013500,m,-84,-2
149135098144000,m,-55,-2
149135107004900,m,-61,-4
149135115074100,m,-43,-4
149135123032600,m,-31,-5
149135131018900,m,-16,-5
149135141046700,m,-6,-2
149135146132900,m,0,-1
149135163068700,m,3,-5
149135169041800,m,4,-2
149135177055900,m,7,-3
149135186011900,m,7,-1
149135193055600,m,3,0
149135205077000,m,5,0
149135210045400,m,1,0
149135221091900,m,2,0
149135281086800,m,1,0
149135295113300,m,0,1
149135313339200,m,1,0
149135313494300,d,0,0
149135321071900,m,0,1
149135335094500,m,3,2
149135340076400,m,1,1
149135349019900,m,4,2
149135350218700,Au,0,0
149135359034800,m,6,2
149135365011000,m,7,2
149135373035000,m,9,3
149135381044200,m,14,3
149135389032100,m,19,3
149135397021100,m,27,4
149135405008300,m,36,5
149135413007100,m,48,6
149135421009200,m,61,5
149135429045900,m,72,6
149135437026400,m,82,4
149135445009300,m,91,4
149135453024700,m,99,4
149135460105500,m,91,3
149135469020500,m,120,3
149135477105000,m,106,3
149135485017600,m,104,3
149135493019100,m,99,5
149135501027200,m,92,3
149135509161300,m,84,4
149135517043700,m,74,2
149135525065900,m,64,1
149135533059000,m,51,1
149135541002600,m,40,1
149135549085700,m,28,1
149135557012400,m,15,0
149135587079400,m,5,0
149135587160600,m,-1,1
149135591121000,m,-2,0
149135605084100,m,-8,1
149135612081300,m,-7,1
149135620020400,m,-6,1
149135628070000,m,-5,1
149135637017100,m,-5,0
149135644015700,m,-3,0
149135653064300,m,-2,0
149135660070100,m,-3,0
149135669047900,m,-3,0
149135678096400,m,-4,-1
149135687096200,m,-4,0
149135692014800,m,-4,-1
149135701080600,m,-3,-1
149135710059700,m,-3,0
149135717032600,m,-4,-1
149135724088200,m,-2,0
149135737089200,m,-6,-1
149135748074700,m,-4,-1
149135757080400,m,-2,-1
149135772111400,m,-1,0
149135809065400,m,1,0
149135824090000,m,20,-1
149135833036000,m,20,0
149135841120100,m,24,0
149135848171900,m,24,0
149135857171800,m,35,0
149135857322500,Du,0,0
149135865137400,m,33,-1
149135867274700,a,0,0
149135873026700,m,34,-1
149135880089500,m,30,-2
149135889011400,m,38,-1
149135896055300,m,27,-2
149135905005000,m,28,-2
149135913025200,m,16,-1
149135932123500,m,8,-2
149135942093200,m,0,-1
149135948151800,m,-1,0
149135962052800,m,-8,-2
149135970002900,m,-7,-1
149135980137800,m,-1,0
149135980352900,L,0,0
149135980352900,m,-2,0
149135981054400,m,-1,0
149135996079700,m,-1,0
149136017289700,Au,0,0
149136028096400,m,0,1
149136035101100,m,1,0
149136047071200,m,2,1
149136062072900,m,2,1
149136066056100,m,1,0
149136080038600,m,3,2
149136090071200,m,2,1
149136095107700,m,2,1
149136103996100,m,6,3
149136106042800,m,1,0
149136106179300,Lu,0,0
149136106179300,m,1,1
149136106971200,m,1,0
149136122034800,m,17,7
149136131025300,m,16,6
149136139062600,m,16,5
149136147070000,m,17,5
149136155017400,m,16,5
149136163009500,m,16,4
149136171002500,m,17,5
149136179027200,m,16,3
149136187014500,m,13,3
149136195120100,m,11,3
149136206068800,m,7,2
149136210154200,m,2,0
149136240086600,m,0,1
149136240457700,L,0,0
149136360530200,Lu,0,0
149136368063500,m,-1,0
149136386097800,m,-2,1
149136393065200,m,-1,1
149136430158400,L,0,0
149136432026400,m,-1,0
149136447063700,m,-2,4
149136453088800,m,-2,3
149136464114800,m,-2,5
149136470037300,m,-2,6
149136478026800,m,-1,7
149136486096600,m,-1,6
149136494077700,m,-1,8
149136502015100,m,-2,11
149136509144800,m,-1,8
149136518015100,m,-3,11
149136526025100,m,-3,10
149136534013500,m,-3,10
149136542008500,m,-3,10
149136549999600,m,-3,7
149136558006500,m,-4,8
149136566068200,m,-2,4
149136574052700,m,-1,3
149136581052700,m,-1,3
149136584116800,Lu,0,0
149136590105000,m,0,1
149136644093600,L,0,0
149136645036300,m,0,1
149136651066800,m,0,1
149136666086500,m,0,6
149136667998500,m,0,3
149136676028400,m,-2,6
149136684048700,m,0,7
149136692012500,m,-2,8
149136699994300,m,0,11
149136708022700,m,0,12
149136716179800,m,0,12
149136723106600,m,0,10
149136731995900,m,1,16
149136740019200,m,1,15
149136747993900,m,1,14
149136756006700,m,0,15
149136763995200,m,1,14
149136772058800,m,0,12
149136779994500,m,1,11
149136789025800,m,0,10
149136796016400,m,1,8
149136804065300,m,0,4
149136804338600,Lu,0,0
149136804338600,m,0,2
149136805031500,m,1,0
149136830070100,m,1,3
149136837067400,m,1,0
149136845167500,m,1,-1
149136859027600,m,4,-13
149136867005000,m,2,-12
149136874998900,m,2,-14
149136883101700,m,2,-16
149136891013900,m,2,-18
149136899000400,m,0,-19
149136906996800,m,0,-21
149136915042800,m,-3,-21
149136923029100,m,-6,-23
149136931054100,m,-7,-24
149136939046600,m,-8,-24
149136947042700,m,-9,-23
149136955012600,m,-8,-23
149136963071600,m,-8,-21
149136971005900,m,-9,-20
149136979000400,m,-9,-19
149136987016300,m,-11,-17
149136995023300,m,-14,-16
149137003014200,m,-16,-12
149137011023500,m,-19,-10
149137019030900,m,-22,-7
149137027021200,m,-24,-3
149137035037600,m,-29,-1
149137043044000,m,-33,1
149137051001400,m,-37,4
149137059057100,m,-43,6
149137067055900,m,-47,6
149137075021600,m,-52,6
149137083041100,m,-54,6
149137091145700,m,-58,4
149137098147500,m,-51,3
149137107062200,m,-67,4
149137108218400,a,0,0
149137115009800,m,-60,3
149137123058400,m,-58,2
149137131050900,m,-54,2
149137139037200,m,-47,1
149137147027300,m,-36,2
149137155035000,m,-26,1
149137163026300,m,-16,1
149137171046600,m,-7,0
149137179010700,m,-3,-1
149137188036400,m,0,-3
149137195030400,m,1,-4
149137204045900,m,5,-6
149137211023000,m,5,-5
149137219026000,m,5,-5
149137227001100,m,6,-5
149137234999400,m,5,-5
149137246075700,m,6,-5
149137251007100,m,2,-2
149137260073100,m,1,-1
149137270086200,m,1,-1
149137371275700,Au,0,0
149137537069300,m,0,-1
149138049085500,m,-1,0
149138063081800,m,-3,1
149138074060000,m,-1,1
149138082083800,m,-1,0
149138097108200,m,-3,1
149138101043300,m,-1,1
149138113065200,m,-4,1
149138117079500,m,-1,0
149138135073000,m,-5,2
149138143061500,m,-2,1
149138148067000,m,-1,0
149138159070100,m,-3,1
149138176079100,m,-1,0
149138184106000,m,-1,0
149139089056400,m,-1,0
149139156434100,m,-1,1
149141807303700,j,0,0
149141919304700,Ju,0,0
149144336084600,m,0,1
149144355127500,m,0,1
149144364034600,m,0,1
149144379977100,m,-5,13
149144387987800,m,-3,8
149144395987900,m,-4,8
149144403983900,m,-2,8
149144412978700,m,0,6
149144422000300,m,0,6
149144433027800,m,2,5
149144438994600,m,3,3
149144444955300,m,4,2
149144452153700,m,7,4
149144459161100,m,6,3
149144467962300,m,10,5
149144475984000,m,10,4
149144483990500,m,12,5
149144491966400,m,13,5
149144499982400,m,14,5
149144507972400,m,14,4
149144515976200,m,15,4
149144523997300,m,15,4
149144531990400,m,14,4
149144539975000,m,14,6
149144547970400,m,13,6
149144555976200,m,13,8
149144563998100,m,13,10
149144571976400,m,11,10
149144579980900,m,10,12
149144587987500,m,8,10
149144595983500,m,6,11
149144604010800,m,4,6
149144612020100,m,3,7
149144621028000,m,2,5
149144628113700,m,2,6
149144635964000,m,3,6
149144643979500,m,3,7
149144651973000,m,5,10
149144659965100,m,5,10
149144667981900,m,6,11
149144676001700,m,5,11
149144683976200,m,5,9
149144691968100,m,5,10
149144699989700,m,3,6
149144708015400,m,2,4
149144716037400,m,1,4
149144724997500,m,1,3
149144732005000,m,0,2
149144739037000,m,1,1
149144750986900,m,0,6
149144761048000,m,1,4
149144766955300,m,1,3
149144776029700,m,0,3
149144783050200,m,1,3
149144792008300,m,1,1
149144809063900,m,0,2
149144830056600,m,1,1
149144855114900,m,0,1
149144875055100,m,0,1
149144885983600,m,-1,2
149144892967000,m,-1,1
149144901022000,m,-1,1
149144919110000,m,-1,1
149144929081600,m,0,1
149144944023700,m,-1,2
149144965106000,m,-1,0
149144983043000,m,-1,1
149144997019200,m,-3,0
149145001006800,m,-1,0
149145011039300,m,-3,1
149145020012500,m,-3,0
149145030025500,m,-3,0
149145037984200,m,-2,0
149145041952600,m,-1,1
149145065025000,m,-3,0
149145092030000,m,-1,0
149145119154000,m,-1,0
149145135031400,m,-1,0
149145152031100,m,-1,0
149145165035900,m,-2,0
149145191034400,m,-1,0
149145211026400,m,-1,0
149145228115900,m,-1,0
149145240039700,m,-3,0
149145245129700,m,-2,0
149145253040500,m,-2,1
149145263026600,m,-4,0
149145268986700,m,-2,0
149145279997000,m,-3,0
149145284952800,m,-2,0
149145301012000,m,-3,0
149145304972900,m,-1,0
149145320253500,m,-2,0
149145330000200,m,-2,0
149145358031400,m,-1,0
149145368071000,m,-1,0
149145375030800,m,-1,0
149145386015000,m,-2,0
149145396053500,m,-2,0
149145404019000,m,-2,0
149145409979700,m,-1,0
149145433092900,m,-3,0
149145433988700,m,-1,0
149145455051900,m,-1,0
149145465032300,m,-1,0
149145476028600,m,-2,0
149145489084600,m,-3,0
149145494064500,m,-2,0
149145501978800,m,-2,0
149145509967800,m,-2,0
149145517012100,m,-2,0
149145528999400,m,-4,0
149145534985400,m,-2,0
149145543060500,m,-2,0
149145548074200,m,-2,0
149145556074600,m,-4,1
149145564995200,m,-5,0
149145574028800,m,-5,0
149145581002400,m,-4,0
149145589990200,m,-6,0
149145596980000,m,-5,0
149145605103300,m,-5,0
149145612019600,m,-6,0
149145620970600,m,-8,0
149145632995400,m,-6,0
149145638005500,m,-3,1
149145647036200,m,-3,0
149145659010800,m,-3,0
149145667081800,m,-2,0
149145676017000,m,-1,0
149145685079600,m,-1,0
149145696036400,m,-1,0
149145708022800,m,-1,0
149145720023800,m,-2,0
149145730070300,m,-2,0
149145736005900,m,-2,0
149145745063100,m,-1,0
149145763010700,m,-5,0
149145772070300,m,-4,0
149145776975300,m,-4,0
149145786000000,m,-3,0
149145793026100,m,-3,0
149145802010500,m,-4,0
149145808980100,m,-3,0
149145816016100,m,-2,0
149145824052700,m,-1,0
149145846073500,m,-4,0
149145853033000,m,-1,0
149145861060300,m,-1,0
149145882090800,m,-2,0
149145888028800,m,-1,0
149146015073700,m,-1,0
149146387046400,m,0,-1
149146403012800,m,1,-4
149146407994800,m,0,-2
149146418968300,m,2,-4
149146423929700,m,1,-3
149146431083100,m,1,-4
149146439964800,m,3,-6
149146447958100,m,3,-6
149146455970200,m,3,-5
149146463956000,m,3,-4
149146471982200,m,3,-7
149146482001200,m,5,-7
149146487983300,m,4,-5
149146497009900,m,4,-4
149146503970000,m,6,-6
149146515026300,m,6,-6
149146521007800,m,5,-5
149146527969600,m,3,-4
149146537089600,m,2,-3
149146543991000,m,2,-4
149146555079800,m,1,-3
149146567054200,m,1,-2
149146567953800,m,0,-1
149146587087500,m,1,-2
149146597066100,m,0,-2
149146623113100,m,0,-1
149146640034400,m,0,-1
149146658054900,m,2,-3
149146664045600,m,1,-2
149146670958800,m,0,-2
149146678955600,m,2,-3
149146695267700,m,2,-3
149146696203700,m,1,-1
149146704989300,m,1,-2
149146715014000,m,2,-1
149146724993000,m,2,-2
149146730024300,m,1,-1
149146740020500,m,3,-2
149146745947700,m,2,-1
149146756974000,m,3,-1
149146763998500,m,3,-2
149146769971900,m,3,-1
149146779952400,m,5,-1
149146789053600,m,4,-1
149146797984500,m,3,-1
149146803959300,m,3,-1
149146812010900,m,2,0
149146819034200,m,2,-1
149146824996400,m,2,-1
149146834090700,m,2,0
149146841127500,m,1,-1
149146857007500,m,1,0
149146870044900,m,0,-1
149146890341900,m,1,0
149146891159800,L,0,0
149146948108900,Lu,0,0
149147104057600,m,-1,0
149147120048900,m,-5,-5
149147128005800,m,-5,-6
149147135965200,m,-5,-8
149147143990900,m,-7,-13
149147151977500,m,-8,-16
149147160001100,m,-9,-18
149147168006600,m,-8,-19
149147175983300,m,-5,-16
149147183976900,m,-2,-13
149147192004000,m,-1,-9
149147254454200,m,0,-1
149148254281800,j,0,0
149148385223400,Ju,0,0
149148968275200,j,0,0
149149118323200,Ju,0,0
149149531257400,j,0,0
149149616294900,s,0,0
149149664250000,Ju,0,0
149149719235700,Su,0,0
149150114284500,w,0,0
