t_ticks,kind,dx,dy
6262496979282,m,2,0
6262497003108,m,2,0
6262497026868,m,1,0
6262497051143,m,2,0
6262497074904,m,2,0
6262497098805,m,1,0
6262497123073,m,1,0
6262497147807,m,1,0
6262497171374,m,0,0
6262497195258,m,1,0
6262497411265,m,0,1
6262497483183,m,0,0
6262497507306,m,-3,0
6262497580191,m,-1,0
6262497602845,m,-3,0
6262497626954,m,-1,0
6262497651398,m,-2,0
6262497675074,m,-1,0
6262497699001,m,-2,0
6262497722974,m,-1,0
6262497747386,m,-2,0
6262497771032,m,-2,0
6262497795799,m,-2,0
6262497818998,m,-1,0
6262497842981,m,-2,0
6262497867428,m,-3,0
6262497891025,m,-2,0
6262497915264,m,-2,0
6262497939336,m,-2,0
6262497963067,m,-3,1
6262497987017,m,-2,0
6262498010847,m,-2,0
6262498034855,m,-3,0
6262498059356,m,-2,1
6262498083143,m,-3,1
6262498106903,m,-3,0
6262498130841,m,-3,0
6262498154869,m,-3,0
6262498179018,m,-2,0
6262498203131,m,-4,0
6262498226982,m,-1,0
6262498251206,m,-5,0
6262498275123,m,-3,0
6262498298881,m,-3,1
6262498323412,m,-3,0
6262498563177,m,-3,0
6262501663034,Su,0,0
6262501971315,m,-4,0
6262501995800,m,-5,0
6262502018980,m,-4,0
6262502067310,m,-5,0
6262502090899,m,-4,0
6262502114829,m,-4,-1
6262502138953,m,-5,0
6262502163245,m,-4,0
6262502186887,m,-4,0
6262502210835,m,-5,-1
6262502235217,m,-4,0
6262502258780,m,-5,0
6262502282819,m,-5,-1
6262502306844,m,-4,0
6262502331058,m,-5,0
6262502354860,m,-4,0
6262502379054,m,-4,0
6262502402910,m,-5,-1
6262502426898,m,-4,0
6262502451029,m,-4,0
6262502475568,m,-5,0
6262502498913,m,-4,0
6262502524086,m,-5,0
6262502547265,m,-4,0
6262502571160,m,-4,0
6262502595372,m,-5,0
6262502619318,m,-3,-1
6262502643915,m,-5,0
6262502667308,m,-4,0
6262502691044,m,-3,0
6262502714906,m,-5,0
6262502739131,m,-3,0
6262502762878,m,-4,0
6262502786799,m,-4,0
6262502811133,m,-3,0
6262502835293,m,-3,0
6262502858840,m,-4,0
6262502883491,m,-2,0
6262502906842,m,-3,0
6262502930934,m,-3,0
6262502954896,m,-2,0
6262502979039,m,-3,0
6262503003263,m,-3,0
6262503026988,m,-2,0
6262503099322,m,-3,0
6262503122831,m,-2,0
6262503148962,m,-3,0
6262503170896,m,-3,0
6262503195006,m,-2,0
6262503219889,m,-4,0
6262503243144,m,-2,0
6262503267281,m,-3,0
6262503290868,m,-3,0
6262503314902,m,-3,0
6262503338947,m,-4,0
6262503363295,m,-2,0
6262503386937,m,-4,0
6262503410958,m,-3,0
6262503435179,m,-4,0
6262503459840,m,-3,0
6262503483118,m,-4,0
6262503507215,m,-3,0
6262503531098,m,-5,0
6262503555393,m,-4,0
6262503578894,m,-4,0
6262503602812,m,-4,0
6262503628760,m,-4,0
6262503651017,m,-6,0
6262503675271,m,-4,0
6262503699402,m,-5,0
6262503722849,m,-5,0
6262503746914,m,-5,0
6262503771365,m,-5,0
6262503795494,m,-5,0
6262503818856,m,-6,0
6262503843247,m,-6,0
6262503867317,m,-5,0
6262503892246,m,-6,0
6262503914894,m,-6,0
6262503939259,m,-5,0
6262503963876,m,-7,0
6262503986835,m,-6,0
6262504010900,m,-6,0
6262504035194,m,-6,0
6262504058976,m,-6,0
6262504083002,m,-6,0
6262504107097,m,-6,0
6262504130894,m,-6,0
6262504155147,m,-7,0
6262504179444,m,-6,0
6262504203155,m,-6,0
6262504227337,m,-6,0
6262504251297,m,-6,0
6262504274889,m,-6,0
6262504298944,m,-5,0
6262504323407,m,-7,0
6262504347099,m,-6,1
6262504371206,m,-5,0
6262504394882,m,-5,0
6262504418908,m,-5,1
6262504443042,m,-7,0
6262504466889,m,-4,1
6262504490960,m,-5,1
6262504515261,m,-5,0
6262504538951,m,-5,1
6262504562910,m,-5,1
6262504587205,m,-4,0
6262504611202,m,-5,1
6262504635776,m,-4,1
6262504659197,m,-5,1
6262504682898,m,-4,1
6262504707541,m,-3,1
6262504730935,m,-5,1
6262504754926,m,-3,1
6262504778852,m,-5,1
6262504802887,m,-3,1
6262504826996,m,-4,1
6262504850910,m,-3,2
6262504874902,m,-4,1
6262504899045,m,-3,1
6262504922964,m,-4,1
6262504946900,m,-3,2
6262504971666,m,-4,1
6262504996080,m,-3,2
6262505019165,m,-3,1
6262505043414,m,-3,1
6262505066895,m,-4,2
6262505090848,m,-2,2
6262505114877,m,-4,2
6262505139267,m,-3,1
6262505163113,m,-3,2
6262505187342,m,-3,1
6262505211042,m,-2,2
6262505235062,m,-3,1
6262505258915,m,-3,2
6262505283228,m,-3,2
6262505307699,m,-3,2
