t_ticks,kind,dx,dy
6251386816768,m,2,-1
6251386840536,m,3,-1
6251386864850,m,2,-1
6251386888376,m,2,-1
6251386912425,m,3,-1
6251386938253,m,2,-1
6251386960511,m,2,-1
6251386984301,m,3,-1
6251387008685,m,2,-1
6251387056646,m,1,0
6251387080961,m,4,-1
6251387104552,m,2,-1
6251387128445,m,4,0
6251387152711,m,3,-1
6251387176322,m,4,-1
6251387201119,m,3,0
6251387224640,m,4,-1
6251387248795,m,3,-1
6251387272408,m,4,-1
6251387296426,m,4,-1
6251387320401,m,4,-1
6251387344309,m,4,0
6251387368668,m,4,-1
6251387393431,m,4,-1
6251387416333,m,4,-1
6251387440368,m,5,-1
6251387465538,m,3,0
6251387489240,m,5,-1
6251387512338,m,4,-1
6251387536996,m,4,-1
6251387560437,m,5,0
6251387584809,m,4,-1
6251387608510,m,5,-1
6251387633338,m,4,0
6251387656501,m,4,-1
6251387680414,m,5,-1
6251387704355,m,4,-1
6251387728261,m,4,0
6251387752331,m,5,-1
6251387776922,m,5,-1
6251387800955,m,4,0
6251387824354,m,5,0
6251387848441,m,4,-1
6251387872829,m,5,-1
6251387896464,m,4,0
6251387920473,m,4,-1
6251387944590,m,5,-1
6251387969328,m,4,0
6251387992454,m,4,-1
6251388016548,m,4,-1
6251388040818,m,4,-1
6251388064445,m,5,0
6251388088365,m,3,0
6251388112726,m,5,-1
6251388136322,m,3,0
6251388160615,m,4,-1
6251388185166,m,4,0
6251388208323,m,3,-1
6251388232618,m,4,-1
6251388256731,m,3,0
6251388280526,m,4,-1
6251388304283,m,3,0
6251388328707,m,4,-1
6251388352338,m,3,-1
6251388376337,m,3,0
6251388400335,m,4,0
6251388424352,m,2,0
6251388448358,m,4,-1
6251388472360,m,2,0
6251388496387,m,4,-1
6251388520357,m,2,-1
6251388544598,m,4,0
6251388568335,m,3,-1
6251388592948,m,2,-1
6251388616917,m,4,0
6251388640307,m,2,-1
6251388664350,m,3,-1
6251388688541,m,3,0
6251388712456,m,2,0
6251388736273,m,3,-1
6251388760954,m,2,0
6251388784383,m,2,-1
6251388808325,m,3,-1
6251388832303,m,2,0
6251388856394,m,2,-1
6251388880283,m,3,0
6251388904316,m,2,-1
6251388928288,m,1,0
6251388952682,m,2,-1
6251388976395,m,2,0
6251389000622,m,2,-1
6251389024525,m,1,0
6251389048330,m,1,0
6251389072667,m,2,-1
6251389096628,m,2,0
6251389120354,m,1,0
6251389144579,m,1,-1
6251389168290,m,1,0
6251389192333,m,2,0
6251389216322,m,1,0
6251389240550,m,2,-1
6251389265181,m,0,0
6251389288380,m,1,0
6251389312253,m,1,0
6251389336582,m,2,0
6251389360978,m,1,0
6251389432992,m,1,0
6251389456414,m,2,-1
6251389480418,m,1,0
6251389552893,m,1,0
6251389624832,m,3,0
6251389648445,m,1,0
6251389696887,m,1,0
6251389720292,m,1,0
6251389793418,m,1,0
6251389816590,m,1,0
6251389840849,m,1,0
6251389936650,m,1,0
6251390056831,m,1,0
6251390225711,m,0,0
6251390465043,m,1,0
6251392792820,m,1,0
6251392865119,m,1,0
6251392888524,m,1,0
6251392984841,m,1,1
6251393008565,m,1,0
6251393152649,m,1,0
6251393176504,m,1,1
6251393224923,m,1,0
6251393248380,m,0,1
6251393320532,m,1,0
6251393344403,m,2,0
6251393392832,m,1,0
6251393440645,m,1,0
6251393464872,m,0,0
6251393512718,m,1,1
6251393536528,m,1,0
6251393560371,m,1,0
6251393584565,m,0,1
6251393608328,m,1,0
6251393632443,m,1,0
6251393656386,m,1,0
6251393680747,m,1,0
6251393704476,m,0,1
6251393728431,m,1,0
6251393752376,m,1,0
6251393776618,m,1,1
6251393800469,m,2,0
6251393803366,a,0,0
6251393824708,m,1,0
6251393848591,m,1,1
6251393872474,m,0,0
6251393896459,m,2,0
6251393968777,m,1,1
6251393992646,m,4,0
6251394017038,m,1,1
6251394040527,m,1,0
6251394064402,m,2,0
6251394088627,m,1,0
6251394112432,m,2,0
6251394136487,m,1,0
6251394160404,m,2,1
6251394184425,m,2,0
6251394208467,m,2,1
6251394232705,m,1,0
6251394257078,m,3,0
6251394280386,m,2,1
6251394304403,m,1,0
6251394329370,m,3,1
6251394352348,m,2,0
6251394376348,m,2,0
6251394400431,m,3,1
6251394424387,m,2,0
6251394448547,m,2,0
6251394472482,m,3,1
6251394496447,m,3,0
6251394520457,m,2,0
6251394544651,m,3,1
6251394568401,m,3,0
6251394592530,m,3,0
