t_ns,kind,dx,dy
150118624393700,m,1,0
150118638389200,m,7,-4
150118644552800,Au,0,0
150118646285500,m,3,-3
150118655398500,m,3,-3
150118662559800,Du,0,0
150118662806800,a,0,0
150118665356100,m,2,-4
150118671395000,m,1,-2
150118678392500,m,1,-2
150118703431500,m,1,-3
150118721400900,m,1,0
150118733401200,m,1,0
150118742420200,m,1,0
150118751423400,m,4,0
150118760459900,m,2,0
150118768443900,m,3,-1
150118778433800,m,3,0
150118785570100,d,0,0
150118786298800,m,3,0
150118791503000,m,1,0
150118794539600,Au,0,0
150118805493400,m,5,0
150118812454700,m,3,1
150118826409200,m,6,2
150118831617500,m,2,1
150118831699500,W2,0,0
150118836385200,m,2,1
150118844403500,m,3,1
150118854428100,m,2,1
150118861620000,m,2,1
150118873514600,m,1,0
150118885401700,m,3,1
150118895398300,m,1,0
150118911398100,m,2,0
150118924390100,m,1,0
150118966464700,m,0,1
150118974396900,m,-1,0
150118990390900,m,-1,4
150118997397900,m,-1,1
150119011403800,m,-1,4
150119016408200,m,-1,1
150119035400500,m,-1,1
150119046418500,m,-1,1
150119065423700,m,-3,0
150119066322400,m,-1,0
150119073458400,m,-1,0
150119082440100,m,-1,0
150119104660000,m,-1,1
150119104818400,Du,0,0
150119160645300,a,0,0
150119183426700,m,-1,1
150119221478500,m,-1,0
150119229698900,m,-1,0
150119238441400,m,-2,0
150119246444600,m,-5,-1
150119255389300,m,-5,0
150119263380800,m,-6,0
150119271365400,m,-7,-1
150119280599000,m,-6,0
150119287381000,m,-4,0
150119294395300,m,-2,0
150119306385900,m,-5,0
150119310467500,m,-1,0
150119327468000,m,-1,1
150119395709900,Au,0,0
150119414633800,d,0,0
150119531406600,m,-1,0
150119548445600,m,-5,1
150119555345600,m,-6,1
150119563342100,m,-7,0
150119571358000,m,-8,0
150119579362500,m,-10,0
150119587359500,m,-9,0
150119595337900,m,-14,0
150119603338600,m,-15,0
150119611374400,m,-17,-1
150119619370500,m,-21,-2
150119627333200,m,-23,-3
150119635336300,m,-29,-2
150119643329200,m,-36,-2
150119651331500,m,-50,-2
150119658585100,Wu,0,0
150119659271800,m,-68,-1
150119667399000,m,-92,0
150119675389900,m,-120,0
150119683415000,m,-153,0
150119691455700,m,-190,0
150119699334700,m,-227,0
150119706373800,m,-230,-2
150119715406300,m,-338,-4
150119722367000,m,-293,-4
150119731339500,m,-409,-7
150119739469600,m,-387,-9
150119743616200,Du,0,0
150119746394900,m,-354,-7
150119755595000,m,-463,-7
150119763323400,m,-413,-2
150119771817400,m,-407,-1
150119771919300,a,0,0
150119779326500,m,-396,3
150119787336000,m,-379,7
150119795324100,m,-352,9
150119803340600,m,-314,12
150119811619600,m,-267,13
150119819330400,m,-206,15
150119827364500,m,-134,15
150119834382100,m,-51,14
150119837589700,W2u,0,0
150119838335700,m,-3,6
150119838414000,m,1,2
150119839345700,m,3,1
150119852377600,m,103,17
150119862396500,m,18,1
150120067396000,m,-1,-1
150120079400700,m,-1,-1
150120089411600,m,0,-1
150120099392500,m,0,-1
150120110403100,m,1,-2
150120117350500,m,0,-3
150120126397400,m,-1,-2
150120133351600,m,-2,-3
150120182401800,m,-1,-1
150120182478400,m,1,0
150120184342600,m,1,0
150120200337200,m,6,1
150120208327900,m,5,1
150120216424700,m,6,1
150120224351300,m,8,1
150120231509500,m,7,1
150120239465700,m,9,0
150120248593900,m,9,0
150120255364800,m,6,0
150120264360700,m,8,0
150120271444000,m,5,0
150120280371900,m,4,-1
150120287384000,m,3,0
150120296404200,m,3,-1
150120306398000,m,2,0
150120314383100,m,4,0
150120321406400,m,3,-1
150120332391700,m,5,0
150120336325200,m,4,0
150120346395400,m,6,0
150120352372900,m,5,0
150120359404900,m,6,0
150120368375800,m,10,1
150120376353600,m,8,0
150120384336900,m,8,1
150120392352500,m,8,0
150120400367400,m,7,1
150120408364200,m,10,1
150120416363900,m,9,0
150120426398400,m,10,1
150120432362300,m,10,1
150120440353400,m,10,0
150120449399200,m,9,0
150120458611600,m,12,1
150120458760000,w,0,0
150120464393100,m,11,0
150120472486000,m,13,0
150120480415100,m,13,0
150120488361700,m,16,0
150120496399300,m,18,0
150120504368000,m,21,0
150120512363600,m,22,-1
150120520390100,m,24,0
150120528343200,m,24,-1
150120536373300,m,24,0
150120543390000,m,17,0
150120552364800,m,25,0
150120560404000,m,20,0
150120568585300,m,19,1
150120576366500,m,18,2
150120584366500,m,16,1
150120592376600,m,15,2
150120600353800,m,14,2
150120608462500,m,13,2
150120616371500,m,12,2
150120623357000,m,10,1
150120632430000,m,13,2
150120639373100,m,10,0
150120648411300,m,12,1
150120656377600,m,9,0
150120663480000,m,7,1
150120672523900,m,7,0
150120681510800,m,5,0
150120690448900,m,5,0
150120698388900,m,5,1
150120701532700,Wu,0,0
150120703362700,m,3,0
150120712390700,m,9,0
150120720357000,m,8,1
150120728418800,m,10,1
150120736355600,m,11,0
150120744347800,m,13,0
150120752400500,m,14,0
150120760351900,m,14,0
150120768718500,m,17,0
150120776342100,m,18,-1
150120784391700,m,20,0
150120792380100,m,20,-1
150120800387700,m,21,-1
150120808490400,m,23,-1
150120816397700,m,23,-1
150120824421400,m,23,-1
150120832407000,m,23,-2
150120839493700,m,20,0
150120848535100,m,24,-2
150120856347600,m,22,-1
150120864558700,m,21,-1
150120871433600,m,19,-1
150120880358500,m,23,-1
150120887377100,m,17,-1
150120896359300,m,19,-1
150120904355500,m,14,-1
150120912373500,m,12,0
150120921386300,m,7,0
150120927439900,m,5,0
150120937387700,m,4,0
150120944539300,m,1,0
150120954504800,m,2,0
150120962405900,m,2,0
150120973500600,m,1,0
150120989455700,m,5,0
150120998531800,m,3,0
150121004417000,m,4,-1
150121012381500,m,6,0
150121020398300,m,6,0
150121028364000,m,13,0
150121036360400,m,13,0
150121044384100,m,15,0
150121052350100,m,18,0
150121060364100,m,19,1
150121068407600,m,20,0
150121076382700,m,21,0
150121084377100,m,23,0
150121092382200,m,24,0
150121100509300,m,24,0
150121108342400,m,23,-1
150121116365700,m,24,0
150121124527200,m,23,-1
150121132380100,m,23,-1
150121140350000,m,21,-1
150121148369400,m,20,0
150121156381100,m,16,-1
150121164346300,m,12,0
150121172392300,m,8,0
150121185629800,m,7,0
150121195404000,m,1,0
150121210859800,w,0,0
150121217425000,m,1,0
150121261772000,m,1,0
150121279618900,m,7,0
150121287607600,m,5,0
150121294471900,m,5,0
150121303409200,m,7,-1
150121303690400,W2,0,0
150121309355500,m,7,0
150121317350400,m,6,-1
150121325345700,m,7,0
150121333367600,m,5,0
150121343399900,m,4,0
150121349387400,m,2,0
150121358397400,m,2,0
150121365422100,m,1,0
150121375407100,m,1,0
150121408416700,m,1,0
150121422502000,m,3,0
150121427390800,m,2,0
150121438450400,m,2,1
150121449415300,m,2,0
150121454600500,Au,0,0
150121457385700,m,1,1
150121463397500,m,1,0
150121473615900,Wu,0,0
150121480434300,m,3,2
150121485377500,m,5,3
150121491650800,d,0,0
150121493352100,m,11,6
150121501378200,m,22,8
150121509361900,m,35,8
150121517352200,m,47,5
150121525357200,m,52,4
150121533401500,m,45,1
150121541349700,m,46,0
150121548504500,m,30,-1
150121557359700,m,24,-2
150121565411000,m,7,-1
150121573481700,m,3,-1
150121574278400,L,0,0
150121574278400,m,0,-1
150121584540000,m,1,0
150121591419000,m,-1,-1
150121602447700,m,-4,0
150121609351600,m,-4,0
150121618389800,m,-2,1
150121627397400,m,-2,1
150121632657600,Du,0,0
150121636568500,m,-1,2
150121643381700,m,-2,2
150121651629000,m,-5,3
150121651727100,a,0,0
150121657368100,m,-4,4
150121665396500,m,-6,4
150121673493700,m,-5,4
150121681362600,m,-4,4
150121689388700,m,-4,2
150121697444400,m,-2,3
150121705451500,m,-2,1
150121714398200,m,-4,3
150121721377000,m,-2,2
150121730381300,m,-3,2
150121736454700,m,-2,2
150121750436800,m,-5,5
150121754591500,m,-2,3
